ID,Default_Status,Loan_amount,Interest,Maturity,Credit_scores,Length,Readability_1,Readability_2,Readability_3,Attitude,Work_Info,Income_Info,Explanation,Guarantee,Thanks,Request,Usage_1,Usage_2,Usage_3,Usage_4,Usage_5,Usage_6,Age,Is_Married,Income_Level,Car,House,Car_Loan,House_Loan
1,,1,13,6,98,40,4 ,0.10000 ,5.2,0,0,0,0,0,0,1,0,0,0,0,1,0,39,0,4,0,0,0,0
2,,0.3,10,3,146,91,8 ,0.08791 ,11.2,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1,2,0,0,0,0
3,,50,15,12,181,19,2 ,0.10526 ,2.4,0.166667,0,0,0,0,1,0,0,0,0,0,1,0,51,0,5,1,1,0,1
4,,0.5,22,3,35,51,7 ,0.13725 ,4.13332,0.0645161,0,0,0,1,0,1,1,0,0,0,0,0,46,0,4,0,0,0,0
5,,15,13,9,131,36,0 ,0.00000 ,40.4,0,1,0,0,0,0,0,0,0,0,0,1,0,59,0,5,1,0,0,0
6,,5,15,6,110,61,3 ,0.04918 ,5.905264,0.105263,1,0,0,0,0,1,0,0,0,1,0,0,38,0,5,1,0,0,0
7,,15,15,12,72,50,3 ,0.06000 ,5.676924,0,1,0,0,0,0,0,0,0,0,0,1,0,36,0,5,1,1,0,0
8,,30,15,12,151,43,5 ,0.11628 ,4.666668,0.3,1,0,0,0,1,0,0,0,0,0,1,0,53,0,5,0,1,0,0
9,,10,15,6,110,59,2 ,0.03390 ,8.276924,0.230769,1,0,0,0,0,0,0,0,0,0,1,0,38,0,5,0,0,0,0
10,,2,15,6,110,46,0 ,0.00000 ,40.4,0,1,0,0,0,0,0,0,0,0,0,1,0,35,0,3,0,0,0,0
11,,1.5,15,24,120,91,9 ,0.09890 ,5.6,0.0357143,1,0,0,0,0,0,0,0,0,0,1,0,53,0,1,1,1,1,1
12,,0.8,14,6,86,162,7 ,0.04321 ,41.5883496,0.0194175,0,0,0,0,0,0,1,0,0,0,0,0,36,0,1,0,1,0,1
13,,1,10,3,96,52,9 ,0.17308 ,3.3,0.0909091,0,0,0,1,0,0,0,0,0,0,0,1,32,1,5,0,1,0,0
14,,10,15,6,110,315,35 ,0.11111 ,15.372172,0.0217391,1,0,0,0,0,0,0,0,0,0,1,0,38,0,4,1,1,0,0
15,,0.5,18,18,56,155,24 ,0.15484 ,5.14284,0.0666667,0,0,0,1,0,0,0,0,0,0,0,1,35,0,2,0,1,0,0
16,,3,15,9,96,175,14 ,0.08000 ,8.116164,0.0721649,1,0,0,0,0,0,0,0,0,0,1,0,37,1,5,1,0,1,0
17,,0.8,15,12,96,109,8 ,0.07339 ,14.4,0.0416667,1,0,0,0,0,1,0,0,0,0,1,0,29,0,4,1,1,1,0
18,,5,15,9,96,22,2 ,0.09091 ,1.733332,0,1,0,0,0,0,0,0,0,0,0,1,0,53,0,5,1,1,0,0
19,,0.5,20,3,0,62,24 ,0.38710 ,0.890908,0.102041,0,0,0,1,1,0,0,0,0,0,1,0,51,1,5,0,0,0,0
20,,4,15,9,58,90,13 ,0.14444 ,6.054716,0,1,0,0,0,0,0,0,0,0,0,1,0,30,1,4,1,0,0,0
21,,0.5,15,12,111,60,8 ,0.13333 ,4.8,0.0833333,1,0,0,1,1,0,0,1,0,0,0,0,35,0,1,0,1,0,0
22,,6,15,6,111,179,30 ,0.16760 ,9.234716,0.0188679,1,0,0,0,0,0,0,0,0,1,0,0,50,0,5,0,1,0,0
23,,0.3,15,3,21,52,4 ,0.07692 ,4.4,0.030303,0,0,0,0,0,1,0,0,0,0,0,1,45,0,3,1,1,0,1
24,,1,15,18,127,89,7 ,0.07865 ,11.6,0.0517241,1,0,0,0,1,1,0,0,0,0,1,0,37,0,5,1,1,0,1
25,,0.8,10,3,111,75,10 ,0.13333 ,9,0.0444444,1,0,0,1,0,0,0,0,0,0,0,1,37,0,4,0,1,0,0
26,,0.6,15,24,55,56,7 ,0.12500 ,7.65,0.09375,0,0,0,1,0,1,0,0,1,0,0,0,40,0,1,0,1,0,0
27,,0.3,10.5,3,135,78,1 ,0.01282 ,10,0.08,0,0,0,1,0,0,0,0,0,0,0,1,30,0,3,1,1,0,0
28,,0.3,10,3,141,50,6 ,0.12000 ,6.2,0.0967742,0,0,0,0,0,0,0,1,0,0,0,0,30,1,4,0,1,0,1
29,,18,15,12,99,287,29 ,0.10105 ,14.4647192,0.0449438,1,0,0,0,0,0,0,0,0,0,1,0,41,0,3,0,1,0,0
30,,30,15,12,131,295,29 ,0.09830 ,17.80482,0.0361446,1,0,0,0,0,0,0,0,0,0,1,0,43,0,5,0,1,0,0
31,,0.5,13,9,121,253,24 ,0.09486 ,9.534888,0.0126583,1,1,0,1,1,0,1,0,0,0,0,0,34,0,1,0,1,0,1
32,,15,15,12,111,74,8 ,0.10811 ,8,0,1,0,0,0,0,0,0,0,0,0,1,0,45,0,5,1,0,0,0
33,,3,15,12,38,140,10 ,0.07143 ,9.562164,0.0405405,1,0,0,0,0,0,0,0,0,0,1,0,32,1,5,1,1,0,0
34,,2,18,6,136,164,20 ,0.12195 ,8.325032,0,1,0,0,0,0,0,0,0,0,0,0,1,36,0,2,1,1,0,0
35,,35,13,3,162,66,8 ,0.12121 ,4.5,0.0222222,0,0,0,0,1,1,0,0,0,0,1,0,31,0,4,1,1,0,0
36,,0.5,12,6,135,57,6 ,0.10526 ,3.6,0.111111,0,0,0,0,0,0,0,0,0,0,0,1,53,0,2,1,1,0,0
37,,6,15,9,110,277,17 ,0.06137 ,11.41668,0.0125,1,0,0,0,0,0,0,0,0,0,1,0,39,0,4,1,1,0,0
38,,25,15,12,131,308,5 ,0.01623 ,16.790324,0.0129032,1,0,0,0,0,0,0,0,0,1,0,0,62,0,4,0,1,0,0
39,,3,18,6,121,92,9 ,0.09783 ,7.94074,0.0925926,0,0,0,1,0,1,0,0,0,0,1,0,51,0,3,1,1,0,0
40,,0.5,16,12,98,54,6 ,0.11111 ,13.2,0.151515,1,0,0,1,0,0,0,0,0,0,1,0,26,1,1,0,0,0,0
41,,10,15,12,94,353,30 ,0.08499 ,12.480744,0.03482588,1,0,0,0,0,0,0,0,0,1,0,0,47,0,2,0,0,0,0
42,,0.3,16,3,93,78,8 ,0.10256 ,5.716328,0.0408163,0,1,0,0,0,0,0,0,0,0,0,1,33,0,1,1,1,1,0
43,,18,15,12,110,49,6 ,0.12245 ,1.666668,0.08,1,0,0,0,0,1,0,0,0,0,1,0,41,0,3,0,0,0,0
44,,15,15,12,70,401,39 ,0.09726 ,12.479218,0.0411523,1,0,0,0,0,0,0,0,0,0,1,0,47,0,5,1,0,0,0
45,,8,13,9,67,52,4 ,0.07692 ,3.733332,0.107143,1,0,0,0,1,1,0,0,0,0,1,0,38,0,3,0,1,0,0
46,,1.5,16,12,210,61,5 ,0.08197 ,9.422224,0.111111,1,0,0,0,1,1,0,0,0,1,0,0,33,0,3,1,1,0,1
47,,0.8,10,3,123,56,5 ,0.08929 ,3.6,0,1,0,0,0,0,0,0,0,0,0,1,0,31,0,1,0,1,0,0
48,,25,15,12,75,437,52 ,0.11899 ,18.34776,0.00386101,1,0,0,0,0,0,0,0,0,0,1,0,32,0,5,1,1,0,0
49,,0.4,15,24,95,68,8 ,0.11765 ,8.8,0.113636,1,0,0,1,0,1,0,1,0,0,0,0,37,0,1,0,1,0,0
50,,3,15,12,95,279,41 ,0.14695 ,14.318084,0.0479042,1,0,0,0,0,0,0,0,0,0,1,0,47,0,4,1,0,0,0
51,,25,15,12,131,391,30 ,0.07673 ,13.35254,0.0271493,1,0,0,0,0,0,0,0,0,0,1,0,56,0,5,0,0,0,0
52,,0.5,15,3,82,217,23 ,0.10599 ,5.2452032,0.0406504,1,0,0,0,1,1,0,0,0,0,1,0,34,0,1,1,0,0,0
53,,25,15,12,78,218,28 ,0.12844 ,26.15238,0,1,0,0,0,0,0,0,0,0,1,0,0,51,0,5,1,1,0,0
54,,3,13,9,95,153,16 ,0.10458 ,9.34944,0.0561798,1,0,0,0,0,0,0,0,0,0,1,0,36,0,4,0,0,0,0
55,,35,11,3,161,41,5 ,0.12195 ,5.4,0.037037,1,0,0,0,1,0,0,0,0,0,1,0,33,0,4,1,1,0,1
56,,5,13,6,95,191,25 ,0.13089 ,7.8238228,0.0357143,1,0,0,0,0,0,0,0,0,0,1,0,48,0,5,1,0,0,0
57,,15,13,6,110,125,13 ,0.10400 ,6.75282,0.0769231,1,0,0,0,0,1,0,0,0,0,1,0,40,0,4,1,0,0,0
58,,0.5,24,12,58,63,7 ,0.11111 ,2.666668,0.05,0,0,0,1,0,0,1,0,0,0,0,0,36,0,1,0,1,0,1
59,,0.8,15,6,111,52,5 ,0.09615 ,6.2,0.0322581,1,0,0,0,0,0,0,0,0,0,1,0,33,0,2,1,0,0,0
60,,25,15,12,78,394,44 ,0.11168 ,13.730316,0.0263158,1,0,0,0,0,0,0,0,0,0,1,0,48,0,4,1,1,0,0
61,,0.5,11,6,34,60,7 ,0.11667 ,13.2,0.0606061,0,0,0,0,0,0,0,0,0,0,1,0,36,0,3,0,0,0,0
62,,20,13,6,131,53,7 ,0.13208 ,4.13332,0,0,0,0,0,1,0,0,0,0,0,1,0,48,0,3,1,1,0,0
63,,5,15,9,95,102,11 ,0.10784 ,14.666668,0.0333333,1,0,0,0,0,0,0,0,0,1,0,0,48,0,4,1,1,0,0
